state,sate_Penetration,Year
Andaman & Nicobar,0.30303030303030304,2024
Andaman & Nicobar Island,0.5360493165371214,2021
Andaman & Nicobar Island,0.3595997498436523,2022
Andaman & Nicobar Island,0.38017253984500654,2023
Andaman & Nicobar Island,0.7148530579825259,2024
Andhra Pradesh,1.1367660478609662,2021
Andhra Pradesh,3.827648036505255,2022
Andhra Pradesh,3.945042151588215,2023
Andhra Pradesh,6.263132854933989,2024
Arunachal Pradesh,0,2021
Arunachal Pradesh,0.008605111436193098,2022
Arunachal Pradesh,0.07894440058644411,2023
Arunachal Pradesh,0.14684287812041116,2024
Assam,0.12389976294322812,2021
Assam,0.45764162324376567,2022
Assam,0.5017729679944739,2023
Assam,0.9240503756495112,2024
Bihar,0.3782342193670065,2021
Bihar,1.0237908624301997,2022
Bihar,1.1719719918557878,2023
Bihar,1.9395893859463265,2024
Chandigarh,1.0537290091968574,2021
Chandigarh,2.358027527726143,2022
Chandigarh,6.56764419618298,2023
Chandigarh,8.84125144843569,2024
Chhattisgarh,0.8031720923070463,2021
Chhattisgarh,3.8722973628638364,2022
Chhattisgarh,5.5412439105181095,2023
Chhattisgarh,5.956225080024709,2024
Delhi,2.8615953270268455,2021
Delhi,7.291077770529824,2022
Delhi,7.645450773596017,2023
Delhi,8.519690193083889,2024
DNH and DD,0.19968937208786333,2021
DNH and DD,0.7177700348432057,2022
DNH and DD,0.8911201757138375,2023
DNH and DD,2.2449975597852614,2024
Goa,2.6630098204016632,2021
Goa,8.257609175121306,2022
Goa,12.008479615315013,2023
Goa,18.729759775726233,2024
Gujarat,1.0090336736368066,2021
Gujarat,4.853969619111623,2022
Gujarat,5.450660413322954,2023
Gujarat,5.75054828676023,2024
Haryana,0.9088982672211967,2021
Haryana,2.0265297638977176,2022
Haryana,1.4584504975473223,2023
Haryana,2.2968733686978915,2024
Himachal Pradesh,0.3787633118441363,2021
Himachal Pradesh,0.9345175600389697,2022
Himachal Pradesh,0.9169534904244991,2023
Himachal Pradesh,0.9439124487004104,2024
Jammu and Kashmir,0.9579768731785278,2021
Jammu and Kashmir,1.577983510796158,2022
Jammu and Kashmir,1.4096695751680732,2023
Jammu and Kashmir,2.65126439825235,2024
Jharkhand,0.4921192657866595,2021
Jharkhand,1.5290682829897535,2022
Jharkhand,1.6031818627290844,2023
Jharkhand,1.88627665390924,2024
Karnataka,3.5753196125495803,2021
Karnataka,6.793082962462236,2022
Karnataka,9.588892833903309,2023
Karnataka,11.892876620136688,2024
Kerala,1.3416138702967524,2021
Kerala,5.084216113982072,2022
Kerala,10.393982586291015,2023
Kerala,15.013992537313433,2024
Ladakh,0.23219814241486067,2021
Ladakh,0.6740058413839587,2022
Ladakh,0.5732484076433121,2023
Ladakh,4.361370716510903,2024
Madhya Pradesh,0.6202068385595142,2021
Madhya Pradesh,1.9221605379235607,2022
Madhya Pradesh,2.9790739148031977,2023
Madhya Pradesh,4.2544414498652445,2024
Maharashtra,1.9930087462912613,2021
Maharashtra,6.212481488584567,2022
Maharashtra,8.074805484122228,2023
Maharashtra,10.367315864141426,2024
Manipur,0.0683371298405467,2021
Manipur,0.24212144504227517,2022
Manipur,0.4810607591866435,2023
Manipur,0.6740407881092292,2024
Meghalaya,0.019782393669634024,2021
Meghalaya,0.1089936255243254,2022
Meghalaya,0.26201122091533047,2023
Meghalaya,0.5089322808475281,2024
Mizoram,0,2021
Mizoram,0.14849647320876128,2022
Mizoram,0.6356013324654439,2023
Mizoram,1.8598382749326146,2024
Nagaland,0.010787486515641856,2021
Nagaland,0.02115805063826786,2022
Nagaland,0.039577836411609495,2023
Nagaland,0.054714572314426405,2024
Odisha,1.3606461158459788,2021
Odisha,4.545454545454546,2022
Odisha,5.998546008551646,2023
Odisha,6.398490505439801,2024
Puducherry,1.1538068819985705,2021
Puducherry,2.9277918730618984,2022
Puducherry,4.683698296836983,2023
Puducherry,6.867394161000971,2024
Punjab,0.8964791602045966,2021
Punjab,1.529320299868293,2022
Punjab,1.6794656998243545,2023
Punjab,2.5145093988283747,2024
Rajasthan,1.7532848061540474,2021
Rajasthan,5.186209160934786,2022
Rajasthan,5.093212315126188,2023
Rajasthan,6.186928657405901,2024
Sikkim,0,2021
Sikkim,0,2022
Sikkim,0,2023
Sikkim,0,2024
Tamil Nadu,2.150403469558539,2021
Tamil Nadu,4.0896843357469885,2022
Tamil Nadu,5.08471208249131,2023
Tamil Nadu,6.372165833459577,2024
Tripura,0.007335411699981662,2021
Tripura,0.468832225039468,2022
Tripura,0.6423646205332076,2023
Tripura,0.6711409395973155,2024
Uttar Pradesh,0.2988331879131535,2021
Uttar Pradesh,0.9065185815161809,2022
Uttar Pradesh,1.5389898384109035,2023
Uttar Pradesh,2.9672934466556034,2024
Uttarakhand,0.8956074420896994,2021
Uttarakhand,2.9081639973027387,2022
Uttarakhand,2.6870048336502106,2023
Uttarakhand,3.1667996215424004,2024
West Bengal,0.18077070956379376,2021
West Bengal,1.029136330062256,2022
West Bengal,1.4954930565251823,2023
West Bengal,2.4676227333857015,2024
